"","estimates","methods","scene","par"
"1",0.401164337621097,"Q-Learning with lasso","Scenario 1","psi0"
"2",1.15493693793446,"Q-Learning with lasso","Scenario 1","psi0"
"3",1.33637008712099,"Q-Learning with lasso","Scenario 1","psi0"
"4",0.903151427873892,"Q-Learning with lasso","Scenario 1","psi0"
"5",1.03841119698717,"Q-Learning with lasso","Scenario 1","psi0"
"6",0.911068826671946,"Q-Learning with lasso","Scenario 1","psi0"
"7",1.67230166948,"Q-Learning with lasso","Scenario 1","psi0"
"8",0.879356056178213,"Q-Learning with lasso","Scenario 1","psi0"
"9",1.37169203103344,"Q-Learning with lasso","Scenario 1","psi0"
"10",1.48155680070899,"Q-Learning with lasso","Scenario 1","psi0"
"11",0.62945582140538,"Q-Learning with lasso","Scenario 1","psi0"
"12",1.36121446226846,"Q-Learning with lasso","Scenario 1","psi0"
"13",1.62146783143839,"Q-Learning with lasso","Scenario 1","psi0"
"14",1.29454555417639,"Q-Learning with lasso","Scenario 1","psi0"
"15",0.946414858561118,"Q-Learning with lasso","Scenario 1","psi0"
"16",0.358691891654262,"Q-Learning with lasso","Scenario 1","psi0"
"17",1.19450203148141,"Q-Learning with lasso","Scenario 1","psi0"
"18",0.75330824157036,"Q-Learning with lasso","Scenario 1","psi0"
"19",0.845663728065736,"Q-Learning with lasso","Scenario 1","psi0"
"20",0.663278331223168,"Q-Learning with lasso","Scenario 1","psi0"
"21",1.20935502616413,"Q-Learning with lasso","Scenario 1","psi0"
"22",1.45974900510057,"Q-Learning with lasso","Scenario 1","psi0"
"23",1.18875022188584,"Q-Learning with lasso","Scenario 1","psi0"
"24",1.0031018567661,"Q-Learning with lasso","Scenario 1","psi0"
"25",0.87228666893262,"Q-Learning with lasso","Scenario 1","psi0"
"26",0.83291991199601,"Q-Learning with lasso","Scenario 1","psi0"
"27",0.681301848678183,"Q-Learning with lasso","Scenario 1","psi0"
"28",0.778030647634418,"Q-Learning with lasso","Scenario 1","psi0"
"29",0.897692602133927,"Q-Learning with lasso","Scenario 1","psi0"
"30",1.10784017529419,"Q-Learning with lasso","Scenario 1","psi0"
"31",0.969229148643652,"Q-Learning with lasso","Scenario 1","psi0"
"32",1.19695237524447,"Q-Learning with lasso","Scenario 1","psi0"
"33",0,"Q-Learning with lasso","Scenario 1","psi0"
"34",1.32800986460128,"Q-Learning with lasso","Scenario 1","psi0"
"35",1.05964942310509,"Q-Learning with lasso","Scenario 1","psi0"
"36",0.824796198114922,"Q-Learning with lasso","Scenario 1","psi0"
"37",0.534498779309025,"Q-Learning with lasso","Scenario 1","psi0"
"38",0.873333524951582,"Q-Learning with lasso","Scenario 1","psi0"
"39",1.20901992068077,"Q-Learning with lasso","Scenario 1","psi0"
"40",0.790827804746029,"Q-Learning with lasso","Scenario 1","psi0"
"41",0.806373414632223,"Q-Learning with lasso","Scenario 1","psi0"
"42",1.52813439990018,"Q-Learning with lasso","Scenario 1","psi0"
"43",0.615149449188149,"Q-Learning with lasso","Scenario 1","psi0"
"44",0.91356506740961,"Q-Learning with lasso","Scenario 1","psi0"
"45",1.20121120960231,"Q-Learning with lasso","Scenario 1","psi0"
"46",0.696911348729922,"Q-Learning with lasso","Scenario 1","psi0"
"47",0.704283036409909,"Q-Learning with lasso","Scenario 1","psi0"
"48",1.32261448102545,"Q-Learning with lasso","Scenario 1","psi0"
"49",0.789917228504378,"Q-Learning with lasso","Scenario 1","psi0"
"50",0.974183208166277,"Q-Learning with lasso","Scenario 1","psi0"
"51",1.20873723396649,"Q-Learning with lasso","Scenario 1","psi0"
"52",1.36819387275776,"Q-Learning with lasso","Scenario 1","psi0"
