"","estimates","methods","scene","par"
"1",-0.225044903002143,"pdWOLS","1","psi0"
"2",-3.75953348997637,"pdWOLS","1","psi0"
"3",-3.9943997490539,"pdWOLS","1","psi0"
"4",-0.0241674622072885,"pdWOLS","1","psi0"
"5",-0.280004993934286,"pdWOLS","1","psi0"
"6",-0.497985495710484,"pdWOLS","1","psi0"
"7",-4.47864413613558,"pdWOLS","1","psi0"
"8",-0.155676031015867,"pdWOLS","1","psi0"
"9",-2.32826759776149,"pdWOLS","1","psi0"
"10",-0.0300018626690127,"pdWOLS","1","psi0"
"11",-0.245232447480302,"pdWOLS","1","psi0"
"12",-3.90145435744341,"pdWOLS","1","psi0"
"13",-0.443809862234518,"pdWOLS","1","psi0"
"14",-0.118422145712716,"pdWOLS","1","psi0"
"15",-0.153318493737764,"pdWOLS","1","psi0"
"16",-4.00182103855297,"pdWOLS","1","psi0"
"17",-3.78826323913376,"pdWOLS","1","psi0"
"18",-0.620561424520042,"pdWOLS","1","psi0"
"19",-0.228909061426583,"pdWOLS","1","psi0"
"20",-0.272247006593085,"pdWOLS","1","psi0"
"21",-3.79191323977071,"pdWOLS","1","psi0"
"22",-4.35109816984114,"pdWOLS","1","psi0"
"23",-3.38487085667523,"pdWOLS","1","psi0"
"24",-0.173330735846205,"pdWOLS","1","psi0"
"25",-0.0932010198065067,"pdWOLS","1","psi0"
"26",-0.682062048433776,"pdWOLS","1","psi0"
"27",-3.33242336181895,"pdWOLS","1","psi0"
"28",-0.142973654616549,"pdWOLS","1","psi0"
"29",-4.53957595114997,"pdWOLS","1","psi0"
"30",-0.262794932353651,"pdWOLS","1","psi0"
"31",-0.126927675006166,"pdWOLS","1","psi0"
"32",-0.24338571398312,"pdWOLS","1","psi0"
"33",-0.82736447097433,"pdWOLS","1","psi0"
"34",-0.164572057272595,"pdWOLS","1","psi0"
"35",-3.18393630999968,"pdWOLS","1","psi0"
"36",-4.27450162445482,"pdWOLS","1","psi0"
"37",-0.204283163017472,"pdWOLS","1","psi0"
"38",-0.56023224759482,"pdWOLS","1","psi0"
"39",-3.42347190321916,"pdWOLS","1","psi0"
"40",-3.7037350956811,"pdWOLS","1","psi0"
"41",-0.362187859675154,"pdWOLS","1","psi0"
"42",-0.155553823864646,"pdWOLS","1","psi0"
"43",-0.149460838450861,"pdWOLS","1","psi0"
"44",-3.40930131292863,"pdWOLS","1","psi0"
"45",-2.5907981641396,"pdWOLS","1","psi0"
"46",-3.88628951384003,"pdWOLS","1","psi0"
"47",-0.152867201213673,"pdWOLS","1","psi0"
"48",-3.43100157598479,"pdWOLS","1","psi0"
"49",-0.154946809854674,"pdWOLS","1","psi0"
"50",-0.673525584657195,"pdWOLS","1","psi0"
"51",-0.0729703956546159,"pdWOLS","1","psi0"
"52",-0.172325201321654,"pdWOLS","1","psi0"
"53",-0.268187090407232,"pdWOLS","1","psi0"
"54",-3.3964308648803,"pdWOLS","1","psi0"
"55",-0.758580202190867,"pdWOLS","1","psi0"
"56",-0.116169011194434,"pdWOLS","1","psi0"
"57",-1.6447825249894,"pdWOLS","1","psi0"
"58",-0.348673355847516,"pdWOLS","1","psi0"
"59",-4.12837668190384,"pdWOLS","1","psi0"
"60",-0.121129798209866,"pdWOLS","1","psi0"
"61",-0.168250837079997,"pdWOLS","1","psi0"
"62",1.38079397395877,"pdWOLS","1","psi0"
"63",-3.63372534018571,"pdWOLS","1","psi0"
"64",-0.672274759130427,"pdWOLS","1","psi0"
"65",-2.84810348203947,"pdWOLS","1","psi0"
"66",-0.142182889019326,"pdWOLS","1","psi0"
"67",-0.271923049684231,"pdWOLS","1","psi0"
"68",-0.221551959237965,"pdWOLS","1","psi0"
"69",-0.937401997157425,"pdWOLS","1","psi0"
"70",-3.68575171671778,"pdWOLS","1","psi0"
"71",-0.169688616774029,"pdWOLS","1","psi0"
"72",-0.187964198888099,"pdWOLS","1","psi0"
"73",-4.43446529042114,"pdWOLS","1","psi0"
"74",-2.97447401175355,"pdWOLS","1","psi0"
"75",-0.531613106803942,"pdWOLS","1","psi0"
"76",-0.517543939863494,"pdWOLS","1","psi0"
"77",-4.3259761320655,"pdWOLS","1","psi0"
"78",-2.3011781295799,"pdWOLS","1","psi0"
"79",-3.96664583163919,"pdWOLS","1","psi0"
"80",-5.36806413573769,"pdWOLS","1","psi0"
"81",-0.401296959522984,"pdWOLS","1","psi0"
"82",-0.578001428174648,"pdWOLS","1","psi0"
"83",-4.38569788442156,"pdWOLS","1","psi0"
"84",-0.183153535607407,"pdWOLS","1","psi0"
"85",-0.454198574755247,"pdWOLS","1","psi0"
"86",-3.84268650443588,"pdWOLS","1","psi0"
"87",-3.40152220969818,"pdWOLS","1","psi0"
"88",-3.45376496580607,"pdWOLS","1","psi0"
"89",-0.273813763979241,"pdWOLS","1","psi0"
"90",-1.03266611715808,"pdWOLS","1","psi0"
"91",-0.354415471220046,"pdWOLS","1","psi0"
"92",-0.120750586944343,"pdWOLS","1","psi0"
"93",-4.48587887585989,"pdWOLS","1","psi0"
"94",-4.21990028023642,"pdWOLS","1","psi0"
"95",-0.252318808492426,"pdWOLS","1","psi0"
"96",-5.33745836255792,"pdWOLS","1","psi0"
"97",-0.126593017432033,"pdWOLS","1","psi0"
"98",-0.128981449925767,"pdWOLS","1","psi0"
"99",-0.25456284914223,"pdWOLS","1","psi0"
"100",-3.43290830059639,"pdWOLS","1","psi0"
"101",-0.248512034764768,"pdWOLS","1","psi0"
"102",-4.0029311896741,"pdWOLS","1","psi0"
"103",-0.295694750743545,"pdWOLS","1","psi0"
"104",-0.972507521222711,"pdWOLS","1","psi0"
"105",-4.21679468079758,"pdWOLS","1","psi0"
"106",-0.0400380671963254,"pdWOLS","1","psi0"
"107",-1.53893226654323,"pdWOLS","1","psi0"
"108",-4.13822415621201,"pdWOLS","1","psi0"
"109",-3.40304784796828,"pdWOLS","1","psi0"
"110",-3.34099368909029,"pdWOLS","1","psi0"
"111",-0.325289868228308,"pdWOLS","1","psi0"
"112",-0.500000285340115,"pdWOLS","1","psi0"
"113",-4.08180477108501,"pdWOLS","1","psi0"
"114",-4.63282751384316,"pdWOLS","1","psi0"
"115",-5.63246159303722,"pdWOLS","1","psi0"
"116",-4.27391225116601,"pdWOLS","1","psi0"
"117",-0.368631544072645,"pdWOLS","1","psi0"
"118",-0.596937556306677,"pdWOLS","1","psi0"
"119",-0.820256828177723,"pdWOLS","1","psi0"
"120",-3.16471727533023,"pdWOLS","1","psi0"
"121",-0.0196265286328626,"pdWOLS","1","psi0"
"122",-0.310676811787544,"pdWOLS","1","psi0"
"123",-0.528048127070389,"pdWOLS","1","psi0"
"124",-0.13078612876379,"pdWOLS","1","psi0"
"125",-3.12337436395615,"pdWOLS","1","psi0"
"126",-0.258321423009289,"pdWOLS","1","psi0"
"127",-4.04897010612089,"pdWOLS","1","psi0"
"128",-0.306906129679618,"pdWOLS","1","psi0"
"129",-4.88945681517019,"pdWOLS","1","psi0"
"130",-3.8165831127473,"pdWOLS","1","psi0"
"131",-4.26595469893955,"pdWOLS","1","psi0"
"132",-0.0306361191420243,"pdWOLS","1","psi0"
"133",-3.81873115351036,"pdWOLS","1","psi0"
"134",-5.11602489127827,"pdWOLS","1","psi0"
"135",-3.79850897648751,"pdWOLS","1","psi0"
"136",-4.34950047546829,"pdWOLS","1","psi0"
"137",-0.216665701666155,"pdWOLS","1","psi0"
