	Gen_PC1	Gen_PC2	Gen_PC3
#eigvals:	8.654	1.217	1.198
9479476127_R02C01	0.0286	0.0053	-0.0084
9479476127_R03C02	0.0256	-0.011	0.0172
9479476127_R04C02	0.0269	-0.0252	0.0031
9479476127_R06C02	0.0286	0.0176	0.0068
9479476127_R09C02	0.0227	-0.0069	0.0073
9479476127_R04C01	0.028	-0.0426	-0.0272
9479476127_R09C01	0.0273	-0.0151	0.0395
9479476127_R10C01	0.0281	-0.0097	0.022
9479476127_R11C02	0.0278	-0.0537	-0.0123
9479476127_R08C01	0.0268	0.0043	-0.0173
9479476127_R01C01	0.0284	0.0023	-0.0523
9479476127_R03C01	0.0264	-0.0261	0.0265
9479476127_R01C02	0.0296	0.251	-0.6072
9479476127_R12C01	0.0272	-0.0343	0.0392
9479476127_R07C01	0.0291	-0.0235	0.0002
9479476127_R10C02	-0.1123	-0.0422	-0.0206
9479476127_R11C01	0.027	-0.0263	-0.002
9479476127_R07C02	-0.0979	0.0186	0.0272
9479476127_R06C01	0.031	-0.0046	0.0125
9479476127_R02C02	-0.0802	-0.0062	-0.0149
9479476127_R05C02	0.0256	0.2564	-0.6182
9479476127_R12C02	0.0299	0.0117	-0.0156
9479476127_R05C01	0.0276	-0.061	0.017
9479476127_R08C02	0.0295	0.023	-0.015
9479476111_R08C01	0.0266	-0.0103	0.0252
9479476111_R02C02	-0.2332	0.0069	0.0018
9479476111_R11C02	-0.2393	-0.0227	-0.0512
9479476111_R04C02	-0.1126	-0.0294	0.0182
9479476111_R06C01	0.0268	0.6113	0.2724
9479476111_R05C02	0.0241	-0.0293	0.016
9479476111_R06C02	-0.24	0	-0.0117
9479476111_R09C01	0.0289	0.0004	-0.0126
9479476111_R10C01	0.0275	-0.0243	0.0264
9479476111_R10C02	0.0244	-0.0098	0.0349
9479476111_R02C01	0.0299	0.0174	-0.0284
9479476111_R03C01	0.0288	-0.0055	0.0245
9479476111_R07C01	0.0285	0.0106	0.0081
9479476111_R01C02	0.0266	-0.0307	0.015
9479476111_R07C02	-0.1831	0.0021	-0.0341
9479476111_R08C02	0.0246	-0.0172	0.0013
9479476111_R09C02	0.0233	-0.0108	-0.0374
9479476111_R05C01	0.0237	-0.0358	0.0224
9479476111_R12C02	0.025	0.0018	0.0061
9479476111_R01C01	0.0278	0.5354	0.2072
9479476111_R11C01	0.0255	-0.0211	-0.0093
9479476111_R12C01	0.0258	-0.0179	-0.0384
9479476111_R03C02	0.0143	0.0131	0.007
9479477089_R06C01	0.0283	0.0292	-0.0311
9479477089_R06C02	0.0254	0.0065	-0.0045
9479477089_R01C02	0.0279	0.0173	0.0022
9479477089_R04C01	0.0305	-0.0101	0.0222
9479477089_R08C02	0.0295	-0.0228	-0.0013
9479477089_R10C01	0.0301	-0.0081	-0.0044
9479477089_R03C01	0.0304	-0.0007	-0.0096
9479477089_R09C01	0.0298	-0.0308	-0.0062
9479477089_R04C02	0.0248	0.0302	-0.0132
9479477089_R07C01	0.0246	-0.0218	-0.0038
9479477089_R10C02	0.0287	-0.0252	0.0403
9479477089_R05C01	0.0262	0.0002	0.0021
9479477089_R09C02	0.0277	-0.0232	-0.0056
9479477089_R11C01	0.0267	0.313	0.1502
9479477089_R12C01	-0.247	-0.015	-0.0275
9479477089_R02C02	0.0243	-0.0105	0.0427
9479477089_R01C01	0.0253	-0.0309	0.0063
9479477089_R07C02	0.0265	-0.0127	0.0045
9479477089_R11C02	0.03	-0.0002	0.0119
9479477089_R12C02	0.0298	-0.0019	-0.0025
9479477089_R03C02	0.029	0.0009	-0.0072
9479477089_R08C01	0.0261	-0.0019	-0.0278
9479477089_R05C02	0.0251	-0.0108	0.0271
9479477089_R02C01	0.031	-0.0126	0.0019
9479477022_R11C02	0.0287	0.0003	0.0245
9479477022_R06C01	-0.2022	0.03	0.0129
9479477022_R09C01	-0.2195	0.0429	-0.0276
9479477022_R03C01	0.0255	-0.027	0.0074
9479477022_R01C02	0.0158	-0.0382	0.0109
9479477022_R05C02	0.0265	-0.0325	-0.0049
9479477022_R08C02	0.0284	0.0258	0.0289
9479477022_R10C01	0.0291	0.0225	0.0035
9479477022_R01C01	0.0246	-0.0137	-0.01
9479477022_R02C01	0.0296	0.0032	-0.0017
9479477022_R11C01	0.0285	-0.0315	0.0049
9479477022_R05C01	0.0302	-0.0307	0.0166
9479477022_R07C01	0.027	0.0063	0.0119
9479477022_R12C01	0.0267	-0.0034	0.0166
9479477022_R12C02	-0.088	-0.0206	-0.0094
9479477022_R04C01	0.0281	-0.0237	0.0118
9479477022_R09C02	0.0275	0.003	0.0265
9479477022_R04C02	0.0282	-0.0502	-0.0563
9479477022_R02C02	0.028	-0.0007	-0.0187
9479477022_R06C02	0.0289	-0.0105	0.0094
9479477022_R03C02	0.0235	-0.0374	-0.0232
9479477022_R07C02	0.0234	-0.0085	0.0006
9479477022_R08C01	0.0269	-0.0046	-0.0021
9479477022_R10C02	0.0263	-0.0134	-0.0116
9479477167_R03C01	0.0227	-0.0029	0.0212
9479477167_R04C02	-0.2577	0.0418	0.0442
9479477167_R05C01	0.0245	-0.0148	0.0206
9479477167_R10C01	0.0273	-0.0105	0.0072
9479477167_R01C01	0.0019	-0.0023	-0.0416
9479477167_R07C02	0.03	0.0043	0.0087
9479477167_R09C02	0.0277	-0.0024	0.0249
9479477167_R11C02	0.0195	-0.07	0.0078
9479477167_R06C01	0.027	-0.0159	-0.0051
9479477167_R06C02	0.029	-0.0563	-0.0133
9479477167_R05C02	0.024	-0.0305	-0.0208
9479477167_R02C01	0.0269	-0.0024	-0.0244
9479477167_R04C01	0.0291	-0.0485	0.0027
9479477167_R12C02	0.0276	-0.0164	0.0082
9479477167_R03C02	-0.1999	0.0021	0.0058
9479477167_R08C02	0.0171	0.0409	-0.0003
9479477167_R09C01	0.0244	0.0502	-0.0533
9479477167_R11C01	0.0271	-0.0211	0.0141
9479477167_R02C02	0.029	-0.0307	0.0223
9479477167_R12C01	0.0268	-0.0381	-0.0221
9479477167_R08C01	0.028	-0.0002	0.0132
9479477167_R01C02	0.0292	-0.0229	0.0031
9479477167_R07C01	0.0259	-0.0214	-0.0138
9479476035_R01C02	0.0303	-0.0116	0.0425
9479476035_R02C01	0.0179	-0.0236	0.0109
9479476035_R02C02	0.0238	-0.0348	0.0288
9479476035_R05C02	0.0247	0.0096	-0.0184
9479476035_R04C01	0.0289	-0.0191	0.0018
9479476035_R06C02	-0.1157	-0.044	-0.0212
9479476035_R07C01	0.0276	0.0227	0.0018
9479476035_R11C01	0.0285	0.0035	0.0482
9479476035_R04C02	0.0297	-0.0193	0.0026
9479476035_R10C02	0.0292	0.0035	0.0036
9479476035_R03C02	-0.1858	-0.0777	0.0983
9479476035_R08C01	0.0232	-0.0184	-0.0117
9479476035_R01C01	0.0302	-0.0307	0.0243
9479476035_R05C01	0.0292	-0.0335	-0.0163
9479476035_R10C01	0.0294	-0.0253	0.0027
9479476035_R11C02	0.0275	-0.0297	0.0278
9479476035_R09C02	-0.1435	-0.0366	0.0578
9479476035_R07C02	0.0284	-0.0129	0.0106
9479476035_R08C02	-0.2561	0.0086	-0.0339
9479476035_R03C01	0.0277	-0.0419	0.006
9479476035_R09C01	0.0264	-0.0301	0.0149
9479476035_R06C01	0.0293	0.0234	0.0118
9479476035_R12C01	0.0261	-0.0028	0.0234
9479476035_R12C02	0.032	0.0476	0.0661
9479621052_R08C02	0.0283	0.0246	0.0062
9479621052_R10C01	0.0285	-0.0213	-0.013
9479621052_R10C02	0.0245	-0.0185	-0.0265
9479621052_R01C02	0.0282	-0.0027	-0.0422
9479621052_R03C02	0.0214	-0.0445	0.0202
9479621052_R07C02	0.03	-0.0068	0.0124
9479621052_R06C02	0.0255	-0.0234	-0.044
9479621052_R11C01	0.0241	-0.0068	0.0474
9479621052_R02C02	0.0271	-0.0109	0.0485
9479621052_R08C01	0.0307	-0.0035	0.0738
9479621052_R11C02	0.027	-0.0027	-0.0032
9479621052_R12C01	0.0254	-0.0001	-0.009
9479621052_R04C02	0.0276	-0.0313	0.023
9479621052_R06C01	-0.2405	0.0465	0.0167
9479621052_R09C02	-0.1166	-0.0231	-0.0198
9479621052_R12C02	0.0266	-0.0119	-0.0079
9479621052_R07C01	0.0293	0.0342	-0.0422
9479621052_R04C01	0.0297	-0.0134	0.0304
9479621052_R05C01	0.0311	-0.0014	-0.0058
9479621052_R03C01	0.0292	-0.0215	-0.019
9479621052_R09C01	0.0289	-0.0267	-0.0412
9479621052_R02C01	0.0283	-0.0174	-0.0057
9479621052_R01C01	0.0219	-0.0372	-0.006
9479477091_R11C01	0.0284	-0.0321	-0.0153
9479477091_R02C01	0.0286	-0.0121	0.0051
9479477091_R01C02	0.0267	-0.0061	0.0254
9479477091_R04C02	0.0274	-0.03	0.0193
9479477091_R05C02	0.0284	-0.0022	0.0384
9479477091_R12C01	0.0298	-0.0062	0.0106
9479477091_R04C01	0.013	-0.0122	-0.0078
9479477091_R01C01	0.0281	-0.0065	-0.0185
9479477091_R05C01	-0.2612	0.0004	0.0033
9479477091_R06C01	0.0294	-0.0429	0.0144
9479477091_R03C02	-0.1111	0.0108	0.0401
9479477091_R09C02	0.0305	0.022	0.0304
9479477091_R06C02	0.0292	-0.0273	-0.0282
9479477091_R07C02	-0.1073	-0.0443	0.0038
9479477091_R08C02	-0.2427	0.037	-0.0163
9479477091_R03C01	0.0301	-0.0093	0.0084
9479477091_R02C02	0.0294	-0.012	0.0128
9479477091_R08C01	0.0278	-0.0277	0.026
9479477091_R09C01	0.0257	-0.0243	-0.0132
9479477091_R10C01	0.0297	0.0162	0.0003
9479477091_R10C02	-0.1202	0.0157	-0.0045
9479477091_R11C02	0.025	0.0066	-0.0111
9479477091_R12C02	0.0281	-0.0065	-0.005
9479477091_R07C01	0.0273	-0.0272	0.0385
